COMISI?ÙN NACIONAL DEL AGUA,,,,,
COORDINACI?ÙN GENERAL DEL SERVICIO METEOROL?ÙGICO NACIONAL,,,,,
BASE DE DATOS CLIMATOL?ÙGICA NACIONAL ,,,,,
,,,,,
REGISTRO DIARIO HIST?ÙRICO,,,,,
EMISI?ÙN   : 21/03/2025 ,,,,,
,,,,,
DATOS DISPONIBLES EN LA BASE DE DATOS A: MARCH DE 2025; ,,,,,
CON LA INFORMACI?ÙN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS ,,,,,
,,,,,
 ESTACI?ÙN  : 22063 ,,,,,
 NOMBRE    : QUERETARO (DGE) ,,,,,
 ESTADO    : QUER?ÎTARO ,,,,,
 MUNICIPIO : QUER?ÎTARO ,,,,,
 SITUACI?ÙN : OPERANDO ,,,,,
 CVE-OMM   :   ,,,,,
 LATITUD   : 20.57027778 ?? ,,,,,
 LONGITUD  : -100.3697222 ?? ,,,,,
 ALTITUD   : 1871 msnm ,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
FECHA,PRECIP,EVAP,TMAX,TMIN,
,(mm),(mm),(??C,),(??C)
1/1/2002,0,2.85,25,5,
2/1/2002,0,4.39,24,5,
3/1/2002,0,5.07,24,4,
4/1/2002,0,5.61,23,4,
5/1/2002,0,5.13,23,4,
6/1/2002,0,4.91,25,4,
7/1/2002,0,3.82,24,5,
8/1/2002,0,4.24,24,3,
9/1/2002,0,3.87,21,3,
10/1/2002,0,2.28,24,4,
11/1/2002,0,4.84,23,4,
12/1/2002,5.1,0.7,22,5,
13/01/2002,19.6,0.75,28,7,
14/01/2002,0,4.06,20,4,
15/01/2002,0,2.52,24,1,
16/01/2002,0,3.51,25,4,
17/01/2002,0,4.15,27,4,
18/01/2002,0,3.22,28,6,
19/01/2002,0,4.56,27,7,
20/01/2002,0,4.46,28,7,
21/01/2002,0,4.69,27,7,
22/01/2002,0,4.13,27,8,
23/01/2002,0,4.64,27,8,
24/01/2002,0,4.39,26,7,
25/01/2002,0,4.49,25,8,
26/01/2002,0,4.56,28,8,
27/01/2002,0,4.55,27,9,
28/01/2002,0,5.26,28,8,
29/01/2002,0,4.17,27,8,
30/01/2002,0,4.38,28,8,
31/01/2002,0,5.33,27,8,
1/2/2002,0,4.75,27,7,
2/2/2002,0,4.54,27,7,
3/2/2002,0,4.76,28,8,
4/2/2002,0,4.13,27,7,
5/2/2002,0,5.16,27,8,
6/2/2002,0.5,4.92,28,9,
7/2/2002,0,4.51,27,8,
8/2/2002,0,4.46,25,9,
9/2/2002,0,4.89,26,8,
10/2/2002,0,5.07,22,9,
11/2/2002,16.5,5.85,22,6,
12/2/2002,5.1,2.76,26,4,
13/02/2002,0,4.14,21,2,
