COMISI?ÙN NACIONAL DEL AGUA,,,,,
COORDINACI?ÙN GENERAL DEL SERVICIO METEOROL?ÙGICO NACIONAL,,,,,
BASE DE DATOS CLIMATOL?ÙGICA NACIONAL ,,,,,
,,,,,
REGISTRO DIARIO HIST?ÙRICO,,,,,
EMISI?ÙN   : 21/03/2025 ,,,,,
,,,,,
DATOS DISPONIBLES EN LA BASE DE DATOS A: MARCH DE 2025; ,,,,,
CON LA INFORMACI?ÙN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS ,,,,,
,,,,,
 ESTACI?ÙN  : 22057 ,,,,,
 NOMBRE    : PE?ÊAMILLER (DGE) ,,,,,
 ESTADO    : QUER?ÎTARO ,,,,,
 MUNICIPIO : PE?ÊAMILLER ,,,,,
 SITUACI?ÙN : OPERANDO ,,,,,
 CVE-OMM   :   ,,,,,
 LATITUD   : 21.05 ?? ,,,,,
 LONGITUD  : -99.8 ?? ,,,,,
 ALTITUD   : 1341 msnm ,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
FECHA,PRECIP,EVAP,TMAX,TMIN,
,(mm),(mm),(??C,),(??C)
25/05/2000,0,6.11,35,19,
26/05/2000,0,7.01,36,21,
27/05/2000,0,6.82,36,20,
28/05/2000,0,6.7,32,19,
29/05/2000,0,8.11,31,17,
30/05/2000,0,7.11,31,17,
31/05/2000,0,6.03,31,17,
1/6/2000,0,8.07,32,18,
2/6/2000,0,7.4,31,20,
3/6/2000,0,9.48,32,16,
4/6/2000,0,7.69,34,14,
5/6/2000,0,7.99,33,13,
6/6/2000,0,7.38,31,17,
7/6/2000,0,4.21,27,18,
8/6/2000,3.2,4.28,31,16,
9/6/2000,75,NULO,30,17,
10/6/2000,1.4,2.92,30,16,
11/6/2000,13.1,NULO,25,17,
12/6/2000,2.5,NULO,24,18,
13/06/2000,0,6.85,30,18,
14/06/2000,26.2,NULO,32,17,
15/06/2000,1.3,1.29,29,16,
16/06/2000,5.2,0.8,32,17,
17/06/2000,1.1,3.81,31,17,
18/06/2000,0,5.15,29,17,
19/06/2000,0,7.35,28,18,
20/06/2000,0,4.55,28,16,
21/06/2000,0,6.5,30,18,
22/06/2000,12,NULO,29,19,
23/06/2000,0,6.98,36,18,
24/06/2000,0,7.23,33,16,
25/06/2000,0,7.55,32,15,
26/06/2000,0,6.45,31,18,
27/06/2000,0,8.21,29,17,
28/06/2000,0,7.44,31,16,
29/06/2000,0,7.55,32,16,
30/06/2000,0,3.77,30,17,
1/7/2000,0,6.37,32,16,
2/7/2000,0,5.99,34,17,
3/7/2000,0,5.02,32,15,
4/7/2000,0,4.48,32,15,
5/7/2000,3.6,2.88,30,14,
6/7/2000,0,6.97,33,16,
7/7/2000,4.5,1.3,32,17,
8/7/2000,0,7.25,31,15,
9/7/2000,0,6.32,30,15,
10/7/2000,0,5.92,29,15,
11/7/2000,0,8.41,32,16,
12/7/2000,0,7.98,31,17,
13/07/2000,0,7.81,32,15,
14/07/2000,0,7.93,35,15,
15/07/2000,0,7.97,35,15,
16/07/2000,0,7.95,35,16,
17/07/2000,0,9.09,32,16,
18/07/2000,0,7.42,32,16,
19/07/2000,0,8.61,29,16,
20/07/2000,0,6.94,31,14,
21/07/2000,0,7.87,34,17,
22/07/2000,0,9.26,31,16,
23/07/2000,0,8.08,30,17,
24/07/2000,0,8.65,31,15,
25/07/2000,0,6.05,30,15,
26/07/2000,0,7.51,30,15,
27/07/2000,0,9.37,30,15,
28/07/2000,4.2,NULO,30,17,
29/07/2000,3.2,3.37,31,13,
30/07/2000,0,6.08,31,15,
31/07/2000,0,8.09,31,17,
1/8/2000,0,7.56,31,17,
2/8/2000,0,9.54,32,16,
3/8/2000,14,NULO,31,15,
4/8/2000,0,4.67,29,16,
5/8/2000,0,7.49,32,16,
6/8/2000,0,7.29,34,17,
7/8/2000,0,7.57,32,16,
8/8/2000,4,NULO,29,17,
9/8/2000,14.5,NULO,25,13,
10/8/2000,0,5.6,27,14,
11/8/2000,0,5.55,28,16,
12/8/2000,0,6,29,15,
13/08/2000,0,6.62,31,14,
14/08/2000,0,4.76,32,14,
15/08/2000,4.8,NULO,26,16,
16/08/2000,0,6.31,28,14,
17/08/2000,0,7.75,30,12,
18/08/2000,0,5.85,30,14,
19/08/2000,0,5.92,31,16,
20/08/2000,1,6.18,33,16,
21/08/2000,0,7.32,31,16,
22/08/2000,0,4.8,27,16,
23/08/2000,3.5,3.78,29,16,
24/08/2000,0,8.65,29,14,
25/08/2000,0,8.09,30,14,
26/08/2000,0,6.56,30,14,
27/08/2000,0,6.42,32,16,
28/08/2000,0,6.41,34,16,
29/08/2000,1.5,7.67,31,16,
30/08/2000,0,8.66,31,18,
31/08/2000,0,1.79,31,16,
1/9/2000,0,6.23,33,17,
2/9/2000,0,2.4,32,15,
3/9/2000,4.2,1.51,31,16,
4/9/2000,0,1.63,32,16,
5/9/2000,0,6.04,31,15,
6/9/2000,0,6.04,32,13,
7/9/2000,0,7.96,32,14,
8/9/2000,0,8.04,33,14,
9/9/2000,0,6.54,35,16,
10/9/2000,0,9.21,35,17,
11/9/2000,0,7.96,35,17,
12/9/2000,0,6.09,34,17,
13/09/2000,2,4.47,33,16,
14/09/2000,0,7.34,30,16,
15/09/2000,2.1,3.54,30,17,
16/09/2000,11.5,NULO,27,18,
17/09/2000,0,2.53,23,14,
18/09/2000,0,3.09,25,15,
19/09/2000,0,5.71,30,16,
20/09/2000,8.8,NULO,33,16,
21/09/2000,15.1,NULO,30,17,
22/09/2000,54,NULO,31,16,
23/09/2000,0,5.17,33,16,
24/09/2000,1,5.24,34,16,
25/09/2000,4,NULO,27,18,
26/09/2000,0,1.14,24,14,
27/09/2000,0,5.89,29,13,
28/09/2000,0,2.38,28,13,
29/09/2000,0,4.92,24,10,
30/09/2000,0,4.29,29,9,
1/10/2000,0,5.52,31,10,
2/10/2000,0,6.43,33,13,
3/10/2000,0,6.33,32,13,
4/10/2000,0,4.93,29,12,
5/10/2000,0,5.1,32,13,
6/10/2000,0,4.18,29,17,
7/10/2000,0,6.22,29,18,
8/10/2000,0,4.05,25,16,
9/10/2000,0,3.05,21,13,
10/10/2000,0,4.04,27,11,
11/10/2000,0,4.99,27,11,
12/10/2000,0,4.52,28,14,
13/10/2000,0,5.41,29,13,
14/10/2000,0,4.75,28,12,
15/10/2000,0,4.4,30,14,
16/10/2000,0,5.33,30,16,
17/10/2000,0,4.39,29,14,
18/10/2000,0,3.24,26,13,
19/10/2000,0,6.38,29,13,
20/10/2000,0,5.1,30,12,
21/10/2000,10.6,NULO,31,14,
22/10/2000,0,4.02,30,15,
23/10/2000,0,2.7,26,16,
24/10/2000,0,4.88,27,15,
25/10/2000,0,4.21,28,14,
26/10/2000,0,3.82,29,14,
27/10/2000,0,4.59,29,13,
28/10/2000,0,4.62,30,12,
29/10/2000,0,5.01,32,12,
30/10/2000,0,5.15,31,15,
31/10/2000,0,5.38,31,11,
1/11/2000,1.6,3.35,33,15,
2/11/2000,0,4.52,31,16,
3/11/2000,0,4.96,31,18,
4/11/2000,0,4.11,32,18,
5/11/2000,0,5.85,32,16,
6/11/2000,0,6.58,33,14,
7/11/2000,0,5.98,33,12,
8/11/2000,0,5.15,34,11,
9/11/2000,0,5.12,34,10,
10/11/2000,0,5.9,34,8,
11/11/2000,0,5.19,34,11,
12/11/2000,0,4.64,35,12,
13/11/2000,0,6.41,35,14,
14/11/2000,0,4.23,26,16,
15/11/2000,0,3.1,30,12,
16/11/2000,0,4.18,32,13,
17/11/2000,0,4.8,33,13,
18/11/2000,0,5.71,33,13,
19/11/2000,0,3.48,28,13,
20/11/2000,0,2.68,23,12,
21/11/2000,0,2.38,19,12,
22/11/2000,0,2.93,24,12,
23/11/2000,0,3.59,31,10,
24/11/2000,0,3.82,31,9,
25/11/2000,0,2.29,29,12,
26/11/2000,0,2.78,22,13,
27/11/2000,7.3,NULO,26,13,
28/11/2000,0,3.38,30,13,
29/11/2000,0,2.92,29,10,
30/11/2000,0,4.45,27,10,
1/12/2000,0,2.65,26,9,
2/12/2000,0,3.5,25,9,
3/12/2000,0,2.56,24,11,
4/12/2000,0,2.79,25,8,
5/12/2000,0,2.51,22,9,
6/12/2000,0,3.71,28,8,
